the weapons|le armi|9|1.50
the physical education|l'educazione fisica|23|2.20
the difficulty|la difficoltà|10|1.50
it's midnight|è mezzanotte|5|1.30
two brains|due cervelli|9|1.50
the eagle|l'aquila|7|1.40
the route|il tragitto|6|1.30
the fishmonger shop|la pescheria|9|1.50
the living room|il salotto|16|1.88
the cucumber|il cetriolo|216|2.00
the van|il furgone|216|2.00
the story/floor|il piano|6|2.00
the florist shop|il fioraio|6|2.00
the note book|il notes|13|1.60
the radio|la radio|6|2.00
Wednesday|mercoledì|6|2.00
the time/the weather|il tempo|121|2.40
the corridor|il corridoio|59|2.30
two rings|due anelli|137|2.40
the truck|il camion|6|2.00
the horns (of a musical instrument)|i corni|25|1.70
the wardrobes|gli armadi|87|1.90
the ice cream|il gelato|6|2.00
the thumb|il pollice|6|2.00
the cotton|il cotone|88|1.90
the toilet paper|la carta igienica|28|1.70
the sheet of paper|il foglio di carta|216|2.00
the high school|il liceo|56|2.30
the horse|il cavallo|54|2.30
the eggs|le uova|43|1.80
the last week|la settimana scorsa|50|2.30
the coat|il cappotto|71|1.90
the ATM|il bancomat|57|2.30
the hairdresser|la pettinatrice|216|2.00
the plaice|la sogliola|6|2.00
the cheque|l'assegno|38|1.48
the bacon|la pancetta|6|2.00
the pencil sharpener|il temperamatite|37|1.48
the flag|la bandiera|6|2.00
the heel|il piede|97|1.90
the car door|la portiera|40|1.80
the banknote|la banconota|91|1.90
the book shop|la libreria|57|2.30
the fisherman|il pescatore|57|2.30
the pear|la pera|68|1.90
the gloves|i guanti|6|2.00
the veal|il vitello|132|2.40
in the evening|di sera|6|2.00
the secretary|la segretaria|52|2.30
the town square|la piazza|61|2.30
the heart|il cuore|50|2.30
the index finger|il dito indico|134|2.40
the place|il luogo|6|2.00
the luggage|il bagaglio|216|2.00
the market|il mercato|59|2.30
the career|la carriera|216|2.00
the kitchen|la cucina|59|2.30
the post office|la posta|57|2.30
the spare wheel|la ruota di scorta|216|2.00
the eraser|la gomma per cancellare|83|1.96
the lip|il labbro|6|2.00
the soccer|il calcio|6|2.00
the back|il dorso|6|2.00
it's noon|è mezzogiorno|63|2.30
the newsagent|il giornalaio|216|2.00
the cauliflower|il cavolfiore|216|2.00
the rice|il riso|6|2.00
the right (legal or human)|il diritto|6|2.00
the hour |l'ora|6|2.00
the climate|il clima|216|2.00
Tuesday|martedì|6|2.00
the drink|il bevanda|216|2.00
January|gennaio|6|2.00
the ring|l'anello|139|2.00
the pupil|l'allievo|6|2.00
the electrician|l'elettricista|6|2.00
the rare steak|la bistecca al sangue|216|2.00
the brakes|i freni|93|1.90
the airport terminal|il terminal dell'aeroporto|216|2.00
the sports shop|il negozio di articoli sportivi|86|1.90
the swimming pool|la piscina|6|2.00
the dream|il sogno|216|2.00
the languages laboratory|il laboratorio di lingue|205|2.00
the perfume shop|la profumeria|6|2.00
the cartoons|i cartoni animati|104|1.96
the head|la testa|212|2.00
the fast train|il rapido|103|1.90
the magazine|la rivista|216|2.00
the shutter|l'imposta|210|2.00
the puppy|il cagnolino|216|2.00
the beauty shop|il salone di bellezza|213|2.00
the rear-view mirror|lo specchietto retrovisore|210|2.00
a lamb chop|un pezzo d'agnello|216|2.00
the herring|l'aringa|6|2.00
the apartment|l'appartamento|6|2.00
the mail carrier|il postino/la postina|217|2.00
the text (message)|il testo|6|2.00
the pastry shop|la pasticceria|6|2.00
the fish|il pesce|130|2.40
the chalk|il gessetto/il gesso|130|2.40
the elevator|l'ascensore|212|2.00
the soup (minestrone)|la minestra|126|2.40
the shower|la doccia|6|2.00
the potato|la patata|6|2.00
the quiz|il quiz|6|2.00
the cone|il cono|219|2.00
May|maggio|6|2.00
the neck|il collo|116|2.00
the prisons|le carceri|152|1.76
the skirt|la gonna|127|2.40
the water skiing|lo sci d'acqua|123|2.40
the ringlets|le anella|146|2.00
the giraffe|la giraffa|6|2.00
the (school) subjects|le materie|6|2.00
the businesswoman|la donna d'affari|6|2.00
the car|la macchina|6|2.00
the bowling|il gioco delle bocce|6|2.00
the beach|la spiaggia|142|2.00
the tobacco|il tabacco|118|2.08
the United States|gli Stati Uniti|6|2.00
the bird|l'uccello|6|2.00
April|aprile|6|2.00
the painting|la pittura|124|1.68
the airport|l'aeroporto|6|2.00
day after tomorrow|dopodomani|6|2.00
the mountain|la montagna|6|2.00
the menu|il menù|6|2.00
October|ottobre|6|2.00
the rest|il riposo|6|2.00
the brain|il cervello|167|2.00
the wrist|il polso|6|2.00
the omelette|l'omelette / la frittata|6|2.00
the medium steak|la bistecca a media cottura|6|2.00
the veterinarian|il veterinario/la veterinaria|6|2.00
the apple pie|la torta di mele|245|2.06
the apple juice|il succo di mela|6|2.00
weekend days|giorni festivi|6|2.00
the president|il presidente/la presidentessa|6|2.00
the t-shirt|la maglietta|210|2.00
the Chemistry|la chimica|6|2.00
the soup|la zuppa|6|2.00
a political film|un film politico|6|2.00
the chocolate|il cioccolato|6|2.00
the motorbike|la motocicletta|6|2.00
the duck|l'anatra|6|2.00
the department store|il grande magazzino|6|2.00
the rule|la regola|6|2.00
the pasta|la pasta|352|2.50
the hip|l'anca|221|2.00
the brain matter|le cervella|174|2.00
the microwave oven|il forno a microonde|6|2.00
the foot|il piede|6|2.00
the tour guide/guide book|la guida|219|2.00
the headmaster|il direttore|6|2.00
the fingers|le dita|166|2.00
the index fingers|i diti indici|168|2.00
the temple|il tempio|192|2.00
