to lower, to pull down, to let down|abbassare
she lowers her eyes|lei abbassa gli occhi
lower your voice!|abbassa la tua voce!
they lowered their prices|hanno abbassato i suoi prezzi
I live in Lugano|io abito a Lugano
Marco lives in the suburbs of Tornio|Marco abita alla periferia di Torino
it happened at Maria's house|è accuduto a casa di Maria
an accident happened|è accuduto un incidente
to happen, to occur|accadere
Accendi la luce!|Turn on the light!
Perchè non accendi la radio?|Why don't you turn on the radio?
to welcome someone|fare buona accoglienza
he is my true friend|è un vero amico
he welcomed me with welcome arms|mi ha accolta a braccia aperte
she wasn't aware that it was snowing|non si era accorta che nevieava
to notice, to be aware of|accòrgersi
I noticed that I was left alone|mi accorsi che ero rimasto solo
I don't know if you grasp the idea|non so se afferri l'idea
it is a precious vase|e' un vaso prezioso
hold it firmly!|afferalo con tutte le tue forze!
