to ask questions|fare delle domande|6|2.00
stop!|si fermi!|9|1.50
have a good trip|buon viaggio|11|2.10
so so|così così|11|2.10
it's out of the question|è fuori questione|70|1.90
what's going on?|che sta succedendo?|6|1.40
so much the better|tanto meglio|6|1.30
day by day|di giorno in giorno|37|1.80
to be up to date|essere aggiornato|58|1.90
what does he say?|cosa dice?|59|1.80
I'm leaving|me ne vado|14|1.60
so much to see|tanto da vedere|15|1.60
you're welcome|prego|24|2.20
I'm used to it|ci sono abituato|21|1.60
it's necessary|è necessario|57|2.30
as for me|quanto a me|19|1.70
well|bene|6|2.00
to leave on a trip|partire per un viaggio|22|2.20
are you sure?|è sicuro?|71|1.90
to do my best|fare il possibile|39|1.80
me too|anch'io|6|2.00
let's see|faccia vedere|49|1.80
not at all|per niente|44|1.80
go straight ahead|vada dritto|27|2.20
one more|ancora uno|71|1.96
it's true|è la verità|56|1.86
better and better|di meglio in meglio|47|1.80
what time is it?|che ora è?|6|2.00
we'll see|si vedrà|6|2.00
that's interesting|è interessante|6|2.00
to ask for information|chiedere informazioni|6|2.00
it smells good|ha un buon odore|6|2.00
to do business|fare un affare|73|1.52
thank you very much|grazie tanto|56|2.30
you're crazy|lei è pazzo|76|1.90
my pleasure|il piacere è mio|77|1.90
I'm sorry|mi dispiacce|6|2.00
as soon as possible|il più presto possibile|64|2.30
what's the date today?|che data è oggi?|6|2.00
it's time to go|è ora di andare|58|1.40
it's near here|è qui vicino|54|1.60
by plane|in aereo|6|2.00
at any rate|in tutti i casi|58|1.90
it's nothing|non è niente|71|1.90
that's enough|basta così|6|2.00
here is|ecco|6|2.00
me neither|nemmeno io|6|2.00
is it far?|è lontano?|59|2.30
by the way|a proposito|6|2.00
I want to speak with him|voglio parlargli|6|2.00
what color is your car?|di che colore è la sua macchina?|6|2.00
many things|molte cose|57|2.30
I won|ho vinto!|6|2.00
are you thirsty?|ha sete?|57|2.30
are you coming with me?|viene con me?|6|2.00
I see it|lo vedo|6|2.00
from now on|d'ora in avanti|81|1.90
show me|mi mostri|6|2.00
how much is it?|quanto è?|6|2.00
I knew it|lo sapevo|6|2.00
sold|venduto|6|2.00
so many things|tante cose|6|2.00
suddenly|improvvisamente|6|2.00
more and more|di più in più|6|2.00
you're kidding|sta scherzando|90|1.80
you speak too fast|lei parla troppo veloce|6|2.00
it's about time|finalmente!|95|1.90
on one side|su un lato|6|2.00
how many times?|quante volte?|6|2.00
you look tired|sembra stanco|6|2.00
do it right|lo faccia bene|6|2.00
not too fast|non troppo veloce|6|2.00
come closer|si avvicini|6|2.00
at first|all'inizio|6|2.00
next year|l'anno prossimo|6|2.00
you know him?|lo conosce?|6|2.00
after tomorrow|dopodomani|6|2.00
at home|a casa|6|2.00
get up|si alzi|6|2.00
to get in the car|salire in auto|6|2.00
he is on his way|sta venendo|6|2.00
you're here|lei è qui|103|1.90
I found it|l'ho trovato|6|2.00
sometimes|qualche volta|6|2.00
what is he talking about?|di cosa sta parlando?|6|2.00
where is my suitcase?|dov'è la mia valigia?|6|2.00
there was/there were|c'era/c'erano|6|2.00
I am crazy about her|sono pazzo di lei|6|2.00
I think so|penso di sì|111|2.40
I'll miss you|mi mancherà|6|2.00
for rent|in affitto|6|2.00
to pay a visit to|fare una vista a|6|2.00
I would like a coffee please|vorrei un caffè per piacere|6|2.00
to have a flat tire|avere una gomma a terra|6|2.00
what do you think?|cosa ne pensa?|6|2.00
where are you going?|dove sta andando?|6|2.00
he drives too fast|lui guida troppo veloce|6|2.00
good morning|buongiorno|120|2.40
I noticed that|l'ho notato|6|2.00
Merry Christmas|buon Natale|126|2.40
I can do it|lo posso fare|6|2.00
to be on duty|essere in servizio|6|2.00
it's good|è buono|117|2.40
little by little|poco a poco|6|2.00
it's over|è finito|129|2.40
it's far from here|è lontano da qui|122|2.40
on the other hand|d'altra parte|6|2.00
this one|questo qui|117|2.40
for the most part|per la maggior parte|6|2.00
it's easy|è facile|119|2.40
usually|generalmente|115|2.40
that's all for the good|è tutto per il meglio|6|2.00
there are too many people here|c'è troppa gente qui|6|2.00
it's cold|fa freddo|129|2.40
of course|naturalmente|6|2.00
there|là|6|2.00
I'm hungry|ho fame|118|2.40
that's right|giusto|126|2.40
it's all right|va bene|124|2.40
how old are you?|quanti anni ha?|119|2.40
today|oggi|132|2.40
good luck|buona fortuna|132|2.40
you mean|vuol dire|128|2.40
thanks|grazie|6|2.00
to do without|fare senza|134|2.40
it's hot|fa caldo|134|2.40
not yet|non ancora|6|2.00
already here|già qui|6|2.00
I don't have time|io non ho tempo|136|2.40
tonight|stanotte|132|2.40
can you speak slowly?|può parlare lentamente?|133|2.40
absolutely not|assolutamente no|131|2.40
again|ancora|6|2.00
I'm afraid|io ho paura|138|2.40
see you tomorrow|ci vediamo domani|138|2.40
right now|propio adesso|137|2.40
smoking prohibited|vietato fumare|136|2.00
why not?|perchè no?|139|2.40
I don't think so|non credo|6|2.00
don't tell me that|non me lo dire|6|2.00
it's here|è qui|140|2.40
do you want it?|lo vuole?|6|2.00
I don't like it|non mi piace|6|2.00
don't exaggerate|non esageri|6|2.00
is it open?|è aperto?|6|2.00
outside|fuori|6|2.00
turn left (inf)|volti a sinistra|6|2.00
it's too late|è troppo tardi|6|2.00
you're lying|sta mentendo|6|2.00
once in a while|ogni tanto|6|2.00
good night|buona notte|150|2.40
get ready|stia pronto|6|2.00
I myself|io me|6|2.00
you're too noisy|lei è troppo rumoroso|6|2.00
relax|si calmi|6|2.00
that happens|capita|6|2.00
quite often|abbastanza spesso|6|2.00
turn right (formal)|voltare a destra|6|2.00
I feel better|mi sento meglio|6|2.00
it started|è cominciato|6|2.00
there he is|eccolo|6|2.00
never|nai|6|2.00
what terrible weather|che cattivo tempo|6|2.00
please|per piacere|6|2.00
very well|molto bene|6|2.00
can you smell it?|lo sente?|6|2.00
without any doubt|senza dubbio|6|2.00
do you mean it?|dice sul serio?|6|2.00
to send for|far venire|6|2.00
be careful!|stia attento!|6|2.00
give me a hand|mi dia una mano|6|2.00
you're early|è in anticipo|6|2.00
it's dirty|è sporco|6|2.00
think twice|ci pensi bene|6|2.00
it's obvious|è ovvio|6|2.00
I'm bored|mi annoio|6|2.00
don't tell me|non me lo dica|6|2.00
I've had it|ne ho abbastanza|6|2.00
you're in a bad mood|è di cattivo umore|6|2.00
it's not worth it|non ne vale la pena|6|2.00
he looks like him|gli assomiglia|6|2.00
it's not bad|non è male|6|2.00
it's not difficult|non è difficile|6|2.00
you're nice|è gentile|6|2.00
sold out|completo|6|2.00
she is so smart|lei è così intelligente|6|2.00
to learn by heart|imparare a memoria|6|2.00
speak louder|parli più forte|6|2.00
it's funny|è divertente|6|2.00
how are you doing?|come sta?|6|2.00
be patient|abbia pazienza|6|2.00
hurry up!|si sbrighi!|6|2.00
I am wasting my time|sto sprecando il tempo|6|2.00
I see|io vedo|6|2.00
it's incredible|è incredibile|6|2.00
slow down|vada piano|6|2.00
do you see him often?|lo vede spesso?|6|2.00
you are impatient|è impaziente|6|2.00
it's different|è differente|6|2.00
go faster|vada più veloce|6|2.00
I can't wait|non posso aspettare|6|2.00
with me|con me|6|2.00
I hope|spero|6|2.00
this is the truth|è la verità|6|2.00
feel at home|faccia come a casa sua|6|2.00
isn't it?|non è vero?|6|2.00
I can't believe it|non ci credo|6|2.00
write to him|scrivigli|6|2.00
it's the same thing|è la stessa cosa|6|2.00
why don't you say something?|perchè non dice qualcosa?|6|2.00
I don't know anybody|non conosco nessuno|6|2.00
what about him?|e lui?|6|2.00
it rains a lot|piove molto|6|2.00
you have to speak|deve parlare|6|2.00
nobody is here|non c'è nessuno|6|2.00
not only that|non è solo quello|6|2.00
I'm happy|sono felice|6|2.00
I'll try|proverò|6|2.00
come with me|venga con me|6|2.00
it's too much|è troppo|6|2.00
I can do it|lo posso fare|6|2.00
they look alike|loro si assomigliano|6|2.00
don't do it|non lo faccia|6|2.00
it's impossible|è impossibile|6|2.00
believe me|mi creda|6|2.00
I want some more|ne voglio ancora|6|2.00
when are you going?|quando ci va?|6|2.00
he spends his time|passa il tempo|6|2.00
according to him|secondo lui|6|2.00
you surprise me|mi sorprende|6|2.00
it's nice weather|fa bel tempo|6|2.00
I don't want it|non lo voglio|6|2.00
it's windy|c'è vento|6|2.00
to be welcome|essere il benevenuto|6|2.00
it doesn't matter|non fa niente|6|2.00
what do you think?|cosa pensa?|6|2.00
I'm busy|sono occupata|6|2.00
there they are|sono lì|6|2.00
do your homework|faccia i compiti|6|2.00
is that true?|è la verità?|6|2.00
to seat oneself at the table|sedersi a tavola|6|2.00
congratulations!|congratulazioni!|6|2.00
instead of|invece di|6|2.00
you're always right|lei ha sempre ragione|6|2.00
to stand|essere in piedi|6|2.00
he doesn't have time|non ha tempo|6|2.00
she is my best friend|lei è la mia migliore amica|6|2.00
do you see it?|lo vede?|6|2.00
I want it|lo voglio|6|2.00
in any case|in ogni caso|6|2.00
in an hour|fra un'ora|6|2.00
let's go!|andiamo!|6|2.00
not quite|non proprio|6|2.00
dear friend|caro amico|6|2.00
to catch cold|prendere il raffreddore|6|2.00
sleep well|dorma bene|6|2.00
on time|in orario|6|2.00
is there?|c'è?|6|2.00
everybody|tutti|6|2.00
I'm having fun|mi sto divertendo|6|2.00
sit down|si sieda|6|2.00
it's very pleasant|è molto piacevole|6|2.00
here you are!|eccola!|6|2.00
what do you say?|cosa dice?|6|2.00
think about it|ci pensi|6|2.00
she is shopping|lei sta facendo delle spese|6|2.00
tell me|mi dica|6|2.00
wait for me|mi aspetti|6|2.00
I speak English well|io parlo bene l'inglese|6|2.00
how many times?|quante volte?|6|2.00
we need it|noi ne abbiamo bisogno|6|2.00
don't you know it?|non lo sa?|6|2.00
don't worry|non si preoccupi|6|2.00
let me know|me lo faccia sapere|6|2.00
I passed my exam|ho superato l'esame|6|2.00
can I help you?|posso aiutaria?|6|2.00
so much for the worse!|peggio così!|6|2.00
it's your turn|tocca a lei|6|2.00
are you done?|ha finito?|6|2.00
buy it!|lo compri!|6|2.00
how long are you staying?|quanto tempo resta?|6|2.00
he is dead|lui è morto|6|2.00
too bad!|peccato!|6|2.00
I intend to|io ho l'intenzione di|6|2.00
I'm going to eat|io vado a mangiare|6|2.00
have a good trip|buon viaggio|6|2.00
in the middle|nel mezzo|6|2.00
I've got it|ce l'ho|6|2.00
once a week|una volta alla settimana|6|2.00
to shake hands|dare la mano|6|2.00
call me tomorrow|chiamami domani|6|2.00
I'm ready|io sono pronta|6|2.00
to pay cash|pagare in contanti|6|2.00
they like each other|loro si piacciono|6|2.00
where is he?|dov'è?|6|2.00
put it there|lo metta là|6|2.00
do you want something?|vuole qualcosa?|6|2.00
you're wrong|lei si sbaglia|6|2.00
do you know them?|li conosce?|6|2.00
that is right|è giusto|6|2.00
at what time are they coming?|a che ora vengono?|6|2.00
about|circa|6|2.00
too much|troppo/a|6|2.00
too many|troppi/e|6|2.00
a little bit|un po'|6|2.00
also|anche|6|2.00
what?|che cosa?|6|2.00
at what time...?|a che ora ...?|6|2.00
what a pain!|che noia!|6|2.00
what time is it?|che ora è?|6|2.00
what time is it?|che ore sono?|6|2.00
what a shame!|che peccato!|6|2.00
who?|chi?|6|2.00
what is he/she/it like?|com'è?|6|2.00
how are you?|come stai?|6|2.00
what's your name?|come ti chiami?|6|2.00
how do you feel?|come ti senti?|6|2.00
with whom?|con chi?|6|2.00
where to?|dove andiamo?|6|2.00
where?|dove?|6|2.00
from where?|da dove?|6|2.00
so-so|così così|6|2.00
made of|fatto di|6|2.00
late|in ritardo|6|2.00
slowly|lentamente|6|2.00
I'm sorry|mi dispiace|6|2.00
my name is ...|mi chiamo ...|6|2.00
neither|né|6|2.00
no way!|non è possibile!|6|2.00
why?|perché?|6|2.00
because|perché|6|2.00
really|veramente|6|2.00
yes|sì|6|2.00
Miss|signorina|6|2.00
Mrs|signora|6|2.00
Mr|signore|6|2.00
I hope that ...|spero che ...|6|2.00
what's your phone number?|qual è il tuo/suo numero di telefono?|6|2.00
what's your address?|qual è il tuo/suo indirizzo?|6|2.00
which?|quale?|6|2.00
how much does it cost?|quanto costa?|6|2.00
how old are you?|quanti anni hai/ha?|6|2.00
when?|quando?|6|2.00
a lot|molto/a|6|2.00
a few/some|qualche|6|2.00
office|l'ufficio|6|2.00
at the office|all'ufficio|6|2.00
which|quale|6|2.00
In which hotel is she?|In quale hotel è lei?|6|2.00
station|la stazione|6|2.00
at the station|alla stazione|6|2.00
done|fatto|6|2.00
fact|il fatto|6|2.00
upside down|sottosopra|6|2.00
ink|il inchiostro|6|2.00
swan|il cigno|6|2.00
sparrow|il passero|6|2.00
hoof|il zoccolo|6|2.00
alien|il alieno|6|2.00
force/effort|il sforzo|6|2.00
feline|il felino|6|2.00
egg yolk|il tuorlo|6|2.00
happiness|la allegria|6|2.00
ice|il ghiaccio|6|2.00
glacier|il ghiacciaio|6|2.00
to stab|accoltellare|6|2.00
leg|la zampa|6|2.00
I go to sleep at 10 or 11|dormo dalle deici o undici|6|2.00
and then I have breakfast or lunch|e poi faccio colazione o pranzo|6|2.00
and then usually I work at home|e poi di solito lavoro a casa|6|2.00
where are you going on vacation?|dove va in vacanza?|6|2.00
to have dinner|cenare|6|2.00
to have lunch|pranzare|6|2.00
to have breakfast|fare colazione|6|2.00
to believe|credere|6|2.00
I believe|credo|6|2.00
to hit|colpire|6|2.00
to take|prendere|6|2.00
to fool around|prendere in giro|6|2.00
are you kidding me?|mi prendi in giro?|6|2.00
I goof around with you|io ti prendo in giro|6|2.00
don't be so serious|non stai allo scherzo|6|2.00
it depends|dipende|6|2.00
on what day?|in che giorni?|6|2.00
I prefer|preferisco|6|2.00
I guess/I suppose|credo|6|2.00
on foot|a piedi|6|2.00
it displeases me|mi dispiace|6|2.00
dear/expensive|caro|6|2.00
expensive/costly|costoso|6|2.00
inexpensive|economico|6|2.00
beautiful|carino|6|2.00
I am not used to ...|non sono abituato (a)|6|2.00
to do business with|avere a che fare (con)|6|2.00
how old are you?|quanti anni hai?|6|2.00
always|sempre|6|2.00
never|non ... mai|6|2.00
always|sempre|6|2.00
often|spesso|6|2.00
sometimes|qualche volta|6|2.00
usually|di solito|6|2.00
maybe|forse|6|2.00
when do you eat? (inf)|quando mangi?|6|2.00
museum|il museo|6|2.00
they speak too fast|parlano troppo veloci|6|2.00
how long will you stay there?|quanto stai via?|6|2.00
I say|io dico|6|2.00
you say (tu)|tu dici|6|2.00
she says|lei dice|6|2.00
we say|noi diciamo|6|2.00
you say (voi)|voi dite|6|2.00
they say|loro dicono|6|2.00
less bad|menomale|6|2.00
to talk about ...|parlare di ...|6|2.00
only|solo|6|2.00
description of your apartment|descrizione del vostro appartamento|6|2.00
lavorare|to work|6|2.00
who is working? (???)|chi è che lavora?|6|2.00
who is working?|chi lavora?|6|2.00
me too|anch'io|6|2.00
what are you doing here in Florence?|cosa fai qui a Firenze?|6|2.00
professor of informatics|il professore di informatica|6|2.00
I would like|io vorrei|6|2.00
you would like (tu)|tu vorresti|6|2.00
she would like|lei vorrebbe|6|2.00
we would like|noi vorremmo|6|2.00
you would like (voi)|voi vorreste|6|2.00
they would like|loro vorrebbero|6|2.00
something else?|altro?|6|2.00
nothing else?|nient'altro?|6|2.00
that's all|è tutti|6|2.00
what do you want/desire?|cosa desidera?|6|2.00
what do you (all) want/desire?|cosa desiderate?|6|2.00
and then|e poi|6|2.00
what do you want/desire to drink?|cosa desidera da bere?|6|2.00
what do you want/desire for the first course?|cosa desidera da bere per primo?|6|2.00
what do you want/desire for the second course?|cosa desidera da bere per secondo?|6|2.00
what do you want/desire for dessert?|cosa desidera da bere per dolce?|6|2.00
what do you recommend?|cosa mi consiglia?|6|2.00
what do you suggest?|cosa mi suggerisce?|6|2.00
there|lì/là|6|2.00
light (weight)|legere|6|2.00
there is|c'è|6|2.00
there are|ci sono|6|2.00
there was|c'era|6|2.00
there were|c'erano|6|2.00
here is|ecco|6|2.00
I see|vedo|6|2.00
room where things go to die (like an attic)|il ripostiglio|6|2.00
deposit|la caparra|6|2.00
to measure|misurare|6|2.00
commercial (adj)|commerciali|6|2.00
nice/delicious|delizioso|6|2.00
to hang (on)|appendere (a)|6|2.00
eyeglasses|l'occhiale/gli occhiali|6|2.00
walls|i muri|6|2.00
interior walls|i muri interni|6|2.00
shoes|le scarpe|6|2.00
trousers|i pantaloni|6|2.00
socks|la/e calza/e|6|2.00
nightstand|il comodino|6|2.00
necktie|la cravatta|6|2.00
drawer|il cassetto|6|2.00
key|la chiave|6|2.00
keys|le chiavi|6|2.00
clothes|i vestiti|6|2.00
article of clothing|il vestito|6|2.00
the|il/la/lo/i/le/gli|6|2.00
see you later|a dopo|6|2.00
see you soon|a presto|6|2.00
goodbye|arrivederci|6|2.00
bon appetit|buon appetito!|6|2.00
good afternoon|buon pomeriggio|6|2.00
good night|buona notte|6|2.00
good morning|buongiorno|6|2.00
see you then|ci vediamo|6|2.00
hi/bye|ciao|6|2.00
thanks|grazie|6|2.00
excuse me (to get past)|permesso|6|2.00
pleased to meet you|piacere|6|2.00
gesundheit!|salute!|6|2.00
excuse me (to get attention)|scusa/scusi|6|2.00
you're welcome|prego|6|2.00
my place|da me|6|2.00
your place|da lei|6|2.00
where do you want to eat?|dove vorrebbe mangiare?|6|2.00
when do you want to eat?|quando vorrebbe mangiare?|6|2.00
later|più tardi|6|2.00
would you like to eat something at my place?|lei vorrebbe mangiare qual cosa da me?|6|2.00
when do you want to drink something?|quando vorrebbe bere qual cosa?|6|2.00
